corp_name,year,quarter,자산총계,부채총계,자본총계,매출액,영업이익,분기순이익,부채비율,자기자본비율,ROA,ROE,매출액성장률,영업이익성장률,순이익성장률
태영건설,2016,Q2,3487470507707.0,2262851933300.0,1224618574407.0,477266312036.0,10937963096.0,-5265877574.0,184.78014139184083,35.1148080449914,-0.15099418224076386,-0.43000144567870113,16.176641344244878,-1558.682807567825,-79.74142446760949
태영건설,2016,Q3,3392317444863.0,2167675794422.0,1224641650441.0,496515270292.0,33208893776.0,4788711159.0,177.00490536488027,36.10044373339765,0.1411634151824902,0.39102958463609,4.0331692747985315,203.6113167006794,-190.93852053538077
태영건설,2016,Q4,3489336274112.0,2227957148643.0,1261379125469.0,674712436617.0,53670246018.0,28283831352.0,176.62866807111712,36.14954324773436,0.810579122506556,2.2422942302524342,35.88956412563151,61.614073567206205,490.6355679615965
태영건설,2017,Q1,4687721757983.0,3367392971232.0,1320328786751.0,579499251885.0,37722158576.0,33865560649.0,255.0420020393795,28.16568164487437,0.7224311168069718,2.564933900466921,-14.111668848049952,-29.714951253719445,19.73470011022855
태영건설,2017,Q2,4842339838903.0,3431844848055.0,1410494990848.0,804254406642.0,91505010890.0,63844021525.0,243.30783663341828,29.12837673052576,1.3184539633522179,4.52635577859206,38.784373582177125,142.57628498550002,88.52196834038008
태영건설,2017,Q3,4797581336690.0,3383842013375.0,1413739323315.0,876329840240.0,107947182917.0,16854681915.0,239.3540278302802,29.467751020775452,0.3513162306619395,1.1922057791728093,8.961770430197102,17.968602885327734,-73.6002189204199
태영건설,2017,Q4,4752049445881.0,3316650418332.0,1435399027549.0,1006332247177.0,73957086167.0,8710819325.0,231.06121396747147,30.205894191466815,0.18330658012303297,0.6068569894375687,14.834871639358571,-31.487710778089316,-48.3181031304559
태영건설,2018,Q1,4777177139293.0,3280754034500.0,1496423104793.0,801778686365.0,121898455321.0,86540950132.0,219.23973400249164,31.324421539337425,1.8115499511246438,5.78318724529258,-20.326642754996783,64.82322606077963,893.4880624102486
태영건설,2018,Q2,4994189574891.0,3423888908722.0,1570300666169.0,1026338492307.0,123282950605.0,75517834753.0,218.04033982072525,31.442552242388043,1.512113899974416,4.809132185955053,28.007704589913708,1.135777545625305,-12.737455923683017
태영건설,2018,Q3,4999269964208.0,3492226513685.0,1507043450523.0,933794675426.0,116530864848.0,79890101742.0,231.72699582570547,30.145270435735522,1.5980353594418548,5.30111469010898,-9.01689038993172,-5.476901488701191,5.789714447323058
태영건설,2018,Q4,4958571817459.0,3476283551861.0,1482288265598.0,1088634176215.0,101807635403.0,2191296888.0,234.5214242425755,29.89345158577521,0.04419209741572163,0.14783203367773842,16.5817502352283,-12.634617844984353,-97.2571109058333
태영건설,2019,Q1,5108865181512.0,3531628770754.0,1577236410758.0,845280200844.0,110626328464.0,30805308979.0,223.91245514404167,30.872539296314084,0.602977527973893,1.9531193148270878,-22.354063530974322,8.662113628404855,1305.8026161446362
태영건설,2019,Q2,5588033623207.0,3957174193972.0,1630859429235.0,1112084267145.0,131339523542.0,77816938779.0,242.6434874174424,29.184853549593388,1.392563896821016,4.771529500583763,31.56397914379161,18.723567314936673,152.60885658393448
태영건설,2019,Q3,5739534192640.0,4076140585918.0,1663393606722.0,853918083433.0,51054625307.0,21564175766.0,245.04967251561874,28.98133456291673,0.37571299415991766,1.2963964559474217,-23.2146242276026,-61.12775200476979,-72.28858381689591
태영건설,2019,Q4,5916135643476.0,4344689189810.0,1571446453666.0,1113088203629.0,98201738644.0,-30682648633.0,276.4770749696466,26.56204232570137,-0.5186265238329211,-1.9525099669429387,30.35070052083455,92.34640946534525,-242.28528354594937
태영건설,2020,Q1,5703496396990.0,4104855917266.0,1598640479724.0,768018564642.0,107806295579.0,68290473522.0,256.7716737646159,28.02913105314973,1.197344028446131,4.27178433100794,-31.001104661963886,9.780434712890717,-322.57033393313964
태영건설,2020,Q2,5466947472088.0,3832135074338.0,1634812397750.0,801497140933.0,77792798582.0,47559446157.0,234.40824645153083,29.903568784896585,0.8699451823859493,2.909168429506425,4.359084250340417,-27.840208065591344,-30.357129326862008
